"#name,fg,bg,hl-fg,hl-bg,cur-fg,cur-bg,ansi-0,ansi-1,ansi-2,ansi-3,ansi-4,ansi-5,ansi-6,ansi-7,ansi-8,ansi-9,ansi-10,ansi-11,ansi-12,ansi-13,ansi-14,ansi-15"
0x96f,#fcfcfa,#262427,#262427,#fcfcfa,#262427,#fcfcfa,#262427,#ff7272,#bcdf59,#ffca58,#49cae4,#a093e2,#aee8f4,#fcfcfa,#545452,#ff8787,#c6e472,#ffd271,#64d2e8,#aea3e6,#baebf6,#fcfcfa
3024-day,#4a4543,#f7f7f7,#4a4543,#a5a2a2,#f7f7f7,#4a4543,#a5a2a2,#db2d20,#01a252,#fded02,#01a0e4,#a16a94,#b5e4f4,#090300,#f7f7f7,#e8bbd0,#3a3432,#4a4543,#807d7c,#d6d5d4,#cdab53,#5c5855
3024-night,#a5a2a2,#090300,#a5a2a2,#4a4543,#090300,#a5a2a2,#090300,#db2d20,#01a252,#fded02,#01a0e4,#a16a94,#b5e4f4,#a5a2a2,#5c5855,#e8bbd0,#3a3432,#4a4543,#807d7c,#d6d5d4,#cdab53,#f7f7f7
aardvark-blue,#dddddd,#102040,#000000,#bfdbfe,#000000,#007acc,#191919,#aa342e,#4b8c0f,#dbba00,#1370d3,#c43ac3,#008eb0,#bebebe,#454545,#f05b50,#95dc55,#ffe763,#60a4ec,#e26be2,#60b6cb,#f7f7f7
abernathy,#eeeeec,#111416,#333333,#eeeeec,#111416,#bbbbbb,#000000,#cd0000,#00cd00,#cdcd00,#1093f5,#cd00cd,#00cdcd,#faebd7,#404040,#ff0000,#00ff00,#ffff00,#11b5f6,#ff00ff,#00ffff,#ffffff
adventure,#feffff,#040404,#ffffff,#606060,#040404,#feffff,#040404,#d84a33,#5da602,#eebb6e,#417ab3,#e5c499,#bdcfe5,#dbded8,#685656,#d76b42,#99b52c,#ffb670,#97d7ef,#aa7900,#bdcfe5,#e4d5c7
adventuretime,#f8dcc0,#1f1d45,#f3d9c4,#706b4e,#1f1d45,#efbf38,#050404,#bd0013,#4ab118,#e7741e,#0f4ac6,#665993,#70a598,#f8dcc0,#4e7cbf,#fc5f5a,#9eff6e,#efc11a,#1997c6,#9b5953,#c8faf4,#f6f5fb
adwaita,#000000,#ffffff,#000000,#c0bfbc,#ffffff,#000000,#c0bfbc,#c01c28,#2ec27e,#f5c211,#1e78e4,#9841bb,#0ab9dc,#241f31,#f6f5f4,#ed333b,#57e389,#f8e45c,#51a1ff,#c061cb,#4fd2fd,#5e5c64
adwaita-dark,#ffffff,#1e1e1e,#5e5c64,#ffffff,#1e1e1e,#ffffff,#241f31,#c01c28,#2ec27e,#f5c211,#1e78e4,#9841bb,#0ab9dc,#c0bfbc,#5e5c64,#ed333b,#57e389,#f8e45c,#51a1ff,#c061cb,#4fd2fd,#f6f5f4
aeroroot,#dedeef,#1a1a1a,#1a1a1a,#dedeef,#1a1a1a,#9fd5f5,#1a1a1a,#ff3a3a,#3aef3a,#e6e61a,#1a7eff,#df3adf,#3ff0e0,#dadada,#5a5a5a,#ffaaaa,#aaf3aa,#f3f35a,#6abaff,#e5aae5,#aafff0,#f3f3f3
afterglow,#d0d0d0,#212121,#d0d0d0,#303030,#212121,#d0d0d0,#151515,#ac4142,#7e8e50,#e5b567,#6c99bb,#9f4e85,#7dd6cf,#d0d0d0,#505050,#ac4142,#7e8e50,#e5b567,#6c99bb,#9f4e85,#7dd6cf,#f5f5f5
